event,,,,,,,,,,,,,,,,,,,,,,
Red Flag,,,,,,,,,,,,,,,,,,,,,,
Severe Weather,,,,,air ,Air Quality,,,flood,Coastal Flood,,winter,Blizzard Warning,,fire,Fire Weather,,wind,High Wind,,thunderstorm,Severe Thunderstorm
Special Weather,,,,,,Ashfall Advisory,,,,Flood Advisory,,,Winter Storm,,,Extreme Fire,,,Wind Advisory,,,High Surf
Civil Emergency,,,,,,Dense Smoke,,,,Flood Statement,,,,,,Fire Warning,,,Wind Chill,,,Tsunami Warning
Civil Danger,,,,,,Dense Fog,,,,Flood Warning,,,Ice Storm,,,,,,Lake Wind,,,
911 Telephone,,,,,,Freezing Fog,,,,Flood Watch,,,Snow Squall,,extreme heat,Excessive Heat,,,,,,Tropical Storm
Child Abduction,,,,,,Blowing Dust,,,,Flash Flood,,,,,,Heat Advisory,,,Tornado Warning,,,
Local Area,,,,,,Dust Advisory,,,,Lakeshore Flood,,,Avalanche Warning,,,,,,Tornado Watch,,,Storm Surge
Test issued,,,,,,Dust Storm,,,,Beach Hazards,,,Avalanche Watch,,,,,,,,,
Law Enforcement,,,,,,Air Stagnation,,,,,,,,,,,,,Hurricane Local,,,
,,,,,,,,,,,,extreme cold,Frost Advisory,,,,,,Hurricane Warning,,,
,,,,,,,,,water current?,Hydrologic Outlook,,,Freeze Warning,,,,,,Hurricane Watch,,storm ,
,,,,,,,,,,Rip Current,,,Freeze Watch,,,,,,,,,
,,,,,,,,,,,,,Winter Weather,,,,,,,,,
,,,,,,,,,,,,,Hard Freeze,,,,,,,,,
,,,,,,,,,,,,,Extreme Cold,,,,,,,,,